1.0	0.723224891		
1.4	0.532580986		
1.8	0.346795563		
2.0	0.263156796		
2.2	0.188455164		
2.30	0.154328297		
2.35	0.138354875		
2.40	0.123434674		
2.45	0.110573540		
2.50	0.095540329		
2.55	0.081589728		
2.60	0.068427164		
2.65	0.055514836		
2.70	0.042624657		
2.75	0.029836255		
2.80	0.015486775		
2.85	0.000066198		
2.90	0.000062818		
2.95	0.000060073		
3.00	0.000057646		
3.05	0.000055426		
3.10	0.000053357		
3.15	0.000051510		
3.20	0.000049842		
3.4	0.000044384		
3.6	0.000040221		
3.8	0.000036828		
4.0	0.000034125		
4.5	0.000028880		
