1.0	0.165317530		
1.4	0.131834972		
1.8	0.098000104		
2.0	0.081215433		
2.2	0.065178377		
2.30	0.057204600		
2.35	0.053523941		
2.40	0.050370779		
2.45	0.049047599		
2.50	0.044785935		
2.55	0.041299174		
2.60	0.038376060		
2.65	0.035010643		
2.70	0.031310712		
2.75	0.027797433		
2.80	0.023713338		
2.85	0.019068217		
2.90	0.018403751		
2.95	0.017747154		
3.00	0.017142135		
3.05	0.016554220		
3.10	0.015913074		
3.15	0.015358791		
3.20	0.014853803		
3.4	0.013180228		
3.6	0.011797381		
3.8	0.010440800		
4.0	0.009607489		
4.5	0.007291620		
